CD4+_T_cells,Dendritic_cells,NK_cells,B_cells
0.3246757171249298,0.3154901162043157,0.1393016805571397,0.7794675938863853
0.1073970235290728,0.1172900364524871,0.1161707023459795,0.10851633923558046
0.5463073588863463,0.0922055225908238,0.08528297998560899,0.5532299214915612
0.4138319128671254,0.0843046085151419,0.104199601023209,0.6023361124054766
0.2990231548255837,0.2180125103700607,0.08295670723857032,0.5999924024342149
0.4409186591931525,0.3507979980801056,0.0480924800825569,0.7436241971907014
0.4131740195588026,0.1950893524944433,0.11406770338261069,0.7223310854358567
0.2557668522373253,0.3278208457314747,0.08725439777119462,0.6708420757399948
0.1227739960500126,0.8291093543003246,0.15467153700601202,0.7972118733443254
0.0080931072565637,0.3179648392289947,0.013264352397165502,0.3127935740883928
0.0389015414150094,0.6519501169657853,0.1132082987348855,0.5776434092459095
0.45833797656015196,0.4256256197582891,0.08572106224254179,0.7982425170758997
0.4782982297896304,0.0725585094325402,0.0571421305239134,0.49371456869825736
0.1191862209265798,0.2161183108905549,0.0882535974870049,0.2470509583301298
0.0927647636456043,0.4298262167658485,0.009219213210266697,0.5133717772011861
