nominal_coverage,cell_type,empirical_coverage_raw,mean_interval_width_raw,empirical_coverage_clip,mean_interval_width_clip
0.8,B_cells,0.9333333333333333,1.5636669956282212,0.9333333333333333,0.7818384429927773
0.8,CD4+_T_cells,0.6666666666666666,0.9219986873148315,0.6666666666666666,0.46099934365741574
0.8,Dendritic_cells,1.0,0.9188854735850133,1.0,0.6176653667925066
0.8,NK_cells,0.0,0.23850966554826833,0.0,0.23547960784505045
0.9,B_cells,1.0,1.5964850341517993,1.0,0.7982474622545663
0.9,CD4+_T_cells,0.8666666666666667,1.0926147177726926,0.8666666666666667,0.5463073588863463
0.9,Dendritic_cells,1.0,1.6582187086006492,1.0,0.9824482625801948
0.9,NK_cells,0.06666666666666667,0.30934307401202404,0.06666666666666667,0.29881257834335334
0.95,B_cells,1.0,1.5964850341517993,1.0,0.7982474622545663
0.95,CD4+_T_cells,0.8666666666666667,1.0926147177726926,0.8666666666666667,0.5463073588863463
0.95,Dendritic_cells,1.0,1.6582187086006492,1.0,0.9824482625801948
0.95,NK_cells,0.06666666666666667,0.30934307401202404,0.06666666666666667,0.29881257834335334
0.8,overall,0.65,0.9107652055190836,0.65,0.5239956903219375
0.9,overall,0.7333333333333333,1.1641653836342913,0.7333333333333333,0.6564539155161152
0.95,overall,0.7333333333333333,1.1641653836342913,0.7333333333333333,0.6564539155161152
