donor_id,cell_type,n_cells
P1,B,715
P1,CD4_T,6500
P1,CD8_T,3276
P1,DC,334
P1,Monocyte,5036
P1,NK,1590
P1,other_T,193
P2,B,1335
P2,CD4_T,5717
P2,CD8_T,3732
P2,DC,276
P2,Monocyte,3500
P2,NK,1610
P2,other_T,825
P3,B,925
P3,CD4_T,4721
P3,CD8_T,1996
P3,DC,250
P3,Monocyte,4088
P3,NK,2423
P3,other_T,77
P4,B,1296
P4,CD4_T,5103
P4,CD8_T,4097
P4,DC,333
P4,Monocyte,5188
P4,NK,688
P4,other_T,231
P5,B,1798
P5,CD4_T,2925
P5,CD8_T,3831
P5,DC,668
P5,Monocyte,8022
P5,NK,2760
P5,other_T,855
P6,B,3229
P6,CD4_T,4457
P6,CD8_T,1938
P6,DC,379
P6,Monocyte,6627
P6,NK,3357
P6,other_T,249
P7,B,3472
P7,CD4_T,5429
P7,CD8_T,3513
P7,DC,904
P7,Monocyte,9196
P7,NK,2303
P7,other_T,478
P8,B,1030
P8,CD4_T,6149
P8,CD8_T,5870
P8,DC,445
P8,Monocyte,7353
P8,NK,3933
P8,other_T,1097
