pool,cell_type,n_cells,below_min,missing
reference,B,5049,False,False
reference,CD4_T,18898,False,False
reference,CD8_T,15794,False,False
reference,DC,1696,False,False
reference,Monocyte,24651,False,False
reference,NK,9804,False,False
reference,other_T,2260,False,False
calibration,B,4807,False,False
calibration,CD4_T,11146,False,False
calibration,CD8_T,7245,False,False
calibration,DC,1180,False,False
calibration,Monocyte,12696,False,False
calibration,NK,3913,False,False
calibration,other_T,1303,False,False
test,B,3944,False,False
test,CD4_T,10957,False,False
test,CD8_T,5214,False,False
test,DC,713,False,False
test,Monocyte,11663,False,False
test,NK,4947,False,False
test,other_T,442,False,False
