MAE,RMSE,Pearson_r,CCC,split,level,cell_type
0.09256327931807774,0.11107687014321839,0.8005477539979555,0.8002278026508638,calibration,overall,ALL
0.08737015489613413,0.10028683110255379,0.9649428731370183,0.7896525215610452,calibration,per_cell_type,Monocyte
0.07575217986014789,0.10006059881746263,0.9058719528425057,0.5644727682503007,calibration,per_cell_type,NK
0.13154804299872797,0.14647071549435176,0.8352716776176841,0.5385921514674604,calibration,per_cell_type,B
0.09019731855907515,0.1049369294198388,0.9153698468180266,0.6581268453863569,calibration,per_cell_type,DC
0.07794870027630356,0.0956836131334624,0.8920475402215987,0.8292637820505869,calibration,per_cell_type,T_cell
0.08131046613515594,0.0979526344493126,0.8481114411903368,0.8477429990014915,test,overall,ALL
0.0654296295177183,0.07779628955392845,0.9653560748401306,0.8619781309828866,test,per_cell_type,Monocyte
0.07923284859498243,0.100538867597652,0.9110391677282359,0.6009873732619061,test,per_cell_type,NK
0.10699761896839782,0.12044401925137843,0.8482533495631082,0.618438233894652,test,per_cell_type,B
0.08833324629588046,0.10266643025201563,0.9113388960033749,0.6680255782828236,test,per_cell_type,DC
0.06655898729880065,0.08225635986054827,0.8873603955859812,0.8654455468206197,test,per_cell_type,T_cell
