donor,Monocyte,NK,B,DC,T_cell
1,0.22352546916890081,0.07540214477211797,0.06490169794459338,0.017873100983020553,0.6182975871313673
2,0.2928470254957507,0.13314447592067988,0.034938621340887634,0.027620396600566574,0.5114494806421152
4,0.2250405374102386,0.13365763261524208,0.04447533009034051,0.04134815844336345,0.5554783414408154
5,0.28777292576419217,0.09781659388646288,0.06615720524017468,0.0462882096069869,0.5019650655021834
6,0.3559023961310178,0.11376126621235437,0.07089470213233678,0.02659925258298527,0.4328423829413058
7,0.25251242991642864,0.18470326880355442,0.042631968687189256,0.034803766000211574,0.48534856659261605
9,0.32927827816118843,0.13381682068078138,0.05614691776816002,0.05567902678675869,0.42507895660311146
10,0.40382882882882876,0.08085585585585585,0.07207207207207206,0.025563063063063062,0.4176801801801802
12,0.2245263983858312,0.15794193476067706,0.05784104920972985,0.04775249411500953,0.5119381235287523
