ablation,setting,MAE,CCC,ue_corr,coverage90,width90
1_point_estimate,NNLS_only,0.08455768714456142,0.843911347092518,,,
1_point_estimate,ensemble_mean,0.08131046613515594,0.8477429990014917,0.6265585330801744,,
2_interval,raw_ensemble_q05_q95,,,,0.3896,0.10990225843711268
2_interval,conformal_calibrated,,,,0.95,0.2888398418191936
3_split,donor_aware_cal,0.09256327931807776,0.8002278026508637,,,
3_split,donor_aware_test,0.08131046613515594,0.8477429990014917,,,
4_markers,100_markers,0.2613730379960022,-0.06518333296366717,,0.8712,0.577745628036541
4_markers,200_markers,0.10415943219602282,0.787107127441801,,0.8872,0.32924892651287857
4_markers,445_markers,0.08455768714456142,0.843911347092518,,0.9412,0.28308175307590117
