scenario,score_name,retained_fraction,reject_high_mae,reject_low_mae,reject_high_delta_vs_all,reject_low_delta_vs_all
baseline,mean_std,0.9,0.0790590180921429,0.0846832466577598,-0.0026031169213852,0.0030211116442317
baseline,mean_std,0.75,0.0754512244409614,0.0888535366705248,-0.0062109105725667,0.0071914016569966
baseline,mean_std,0.5,0.0676886241367582,0.095635645890298,-0.0139735108767699,0.0139735108767698
baseline,mean_std,0.25,0.060087930042538,0.1002948667312283,-0.0215742049709901,0.0186327317177001
gaussian_noise_low,mean_std,0.9,0.0777719237891163,0.0828717497131207,-0.0021543649179152,0.0029454610060891
gaussian_noise_low,mean_std,0.75,0.0748984460946517,0.0858850184313888,-0.0050278426123797,0.0059587297243573
gaussian_noise_low,mean_std,0.5,0.0690482241042714,0.0908043533097917,-0.0108780646027601,0.0108780646027601
gaussian_noise_low,mean_std,0.25,0.0620500995339595,0.0950098165441708,-0.0178761891730719,0.0150835278371393
gaussian_noise_medium,mean_std,0.9,0.079564816102016,0.0846829095524222,-0.0023664360564073,0.0027516573939989
gaussian_noise_medium,mean_std,0.75,0.0756324461503869,0.0884932507734558,-0.0062988060080363,0.0065619986150325
gaussian_noise_medium,mean_std,0.5,0.0691195637156428,0.0947429406012037,-0.0128116884427804,0.0128116884427804
gaussian_noise_medium,mean_std,0.25,0.0622452563133257,0.1008276701825323,-0.0196859958450976,0.018896418024109
gaussian_noise_high,mean_std,0.9,0.0859738948044824,0.0902549415595735,-0.0011570137752071,0.0031240329798839
gaussian_noise_high,mean_std,0.75,0.0827745379421912,0.0935488477135589,-0.0043563706374984,0.0064179391338693
gaussian_noise_high,mean_std,0.5,0.0773786697410942,0.096883147418285,-0.0097522388385953,0.0097522388385953
gaussian_noise_high,mean_std,0.25,0.0678770911780816,0.1002000204921849,-0.0192538174016079,0.0130691119124953
dropout_low,mean_std,0.9,0.0804364966159895,0.0849426965035457,-0.0025354668023273,0.0019707330852288
dropout_low,mean_std,0.75,0.0761179823901486,0.0888631623003793,-0.0068539810281682,0.0058911988820624
dropout_low,mean_std,0.5,0.0692540133788413,0.0966899134577924,-0.0137179500394755,0.0137179500394755
dropout_low,mean_std,0.25,0.0652983667721295,0.1035339065028216,-0.0176735966461873,0.0205619430845047
dropout_medium,mean_std,0.9,0.0882681010272565,0.0942607930896771,-0.0037570097758159,0.0022356822866046
dropout_medium,mean_std,0.75,0.0850249827758856,0.0964355376742473,-0.0070001280271869,0.0044104268711748
dropout_medium,mean_std,0.5,0.0820347213802654,0.1020155002258796,-0.0099903894228071,0.0099903894228071
dropout_medium,mean_std,0.25,0.078793830189548,0.1130254948846332,-0.0132312806135245,0.0210003840815607
dropout_high,mean_std,0.9,0.1050583700234895,0.109196033880518,-0.003058944082061,0.0010787197749674
dropout_high,mean_std,0.75,0.1040377559077922,0.1089980425981711,-0.0040795581977583,0.0008807284926206
dropout_high,mean_std,0.5,0.1038162623810891,0.112418365830012,-0.0043010517244614,0.0043010517244614
dropout_high,mean_std,0.25,0.1054751286276887,0.1203559886988255,-0.0026421854778618,0.012238674593275
low_depth_medium,mean_std,0.9,0.0764885509243048,0.0816831677189842,-0.0027137902901914,0.0024808265044879
low_depth_medium,mean_std,0.75,0.0728725216337504,0.0855926208055457,-0.0063298195807458,0.0063902795910494
low_depth_medium,mean_std,0.5,0.0664602899855896,0.0919443924434029,-0.0127420512289067,0.0127420512289066
low_depth_medium,mean_std,0.25,0.060031502441348,0.0981917999567337,-0.0191708387731483,0.0189894587422373
low_depth_high,mean_std,0.9,0.0769515162870998,0.0821935311456442,-0.0024940269410563,0.002747987917488
low_depth_high,mean_std,0.75,0.073115390727102,0.0861840123529817,-0.0063301525010542,0.0067384691248255
low_depth_high,mean_std,0.5,0.0660622199268077,0.0928288665295047,-0.0133833233013485,0.0133833233013485
low_depth_high,mean_std,0.25,0.0592301358536797,0.0984360007313189,-0.0202154073744764,0.0189904575031626
