scenario,perturbation,severity,params,n_samples,MAE,RMSE,Pearson,CCC,mean_uncertainty_std,mean_interval_width,coverage90_clip,conformal_width90_clip,uncertainty_error_corr,AUROC_fail_gt0.10,n_fail_gt0.10,AUROC_fail_gt0.15,n_fail_gt0.15,primary_score,spearman_meanstd_mae,reject_high_mae_retain50,reject_low_mae_retain50,reject_high_delta_vs_all
baseline,none,0.0,{},500,0.0816255093267367,0.0982773573811058,0.847659054499779,0.8472110549878037,0.0348209783609476,0.10864431166953,0.9492,0.288524371649322,0.6171116767764839,0.7981577246283129,136,,0,mean_std,0.5981666806667226,0.0676886241367582,0.095635645890298,-0.0139735108767699
gaussian_noise_low,gaussian,0.1,{'noise_std': 0.1},500,0.0827701831700527,0.09989689203415,0.8406651779815724,0.8404573767478798,0.035668189589816,0.1110267460761737,0.9448,0.2892119891595574,0.6329356470365702,0.8121570202107116,149,,0,mean_std,0.5357032628130513,0.0690482241042714,0.0908043533097917,-0.0108780646027601
gaussian_noise_medium,gaussian,0.5,{'noise_std': 0.5},500,0.0801345017816476,0.0978828494961342,0.8470792256473553,0.8468650741190733,0.037983758433671,0.1167255494815777,0.9416,0.2892882655456676,0.5130881689333883,0.7721774193548386,124,0.7377598926894701,3,mean_std,0.5666597386389545,0.0691195637156428,0.0947429406012037,-0.0128116884427804
gaussian_noise_high,gaussian,1.0,{'noise_std': 1.0},500,0.0868175794536377,0.1076441896400638,0.8173083480446047,0.8168542500686965,0.0423378938228939,0.1268422503297333,0.9068,0.2884792609203742,0.4835767744070866,0.7418817356778218,172,0.8173272357723576,8,mean_std,0.4093722294889179,0.0773786697410942,0.096883147418285,-0.0097522388385953
dropout_low,dropout,0.1,{'dropout_rate': 0.1},500,0.0817514414758556,0.1011258229695288,0.8412418997105969,0.8403758039646227,0.043515572476547,0.129571375794665,0.9284,0.2880037835584491,0.3363393465966299,0.6739860449216786,137,0.5443548387096774,4,mean_std,0.4985162660650641,0.0692540133788413,0.0966899134577924,-0.0137179500394755
dropout_medium,dropout,0.3,{'dropout_rate': 0.3},500,0.0900483412064075,0.115878033185252,0.7892007017198018,0.7886496919180956,0.048485697337563,0.1503131503456705,0.8752,0.2902830924519157,0.3220652436890979,0.6677379224549036,182,0.7091687755499319,33,mean_std,0.3830097560390241,0.0820347213802654,0.1020155002258796,-0.0099903894228071
dropout_high,dropout,0.5,{'dropout_rate': 0.5},500,0.1024800162992869,0.1332289417592337,0.736915255559822,0.7342831123359417,0.0609130331008142,0.1820632722826689,0.814,0.2857664786652084,0.0730616328111241,0.524272,250,0.5059561596773592,61,mean_std,0.1395918543674174,0.1038162623810891,0.112418365830012,-0.0043010517244614
low_depth_medium,low_depth,0.75,{'depth_fraction': 0.25},500,0.077542703809904,0.0952109539914702,0.8581402365747614,0.85750054009184,0.0416846302325371,0.1197630499155988,0.9528,0.2881507116160089,0.5118099931692043,0.7050948509485095,90,,0,mean_std,0.5865607142428569,0.0664602899855896,0.0919443924434029,-0.0127420512289067
low_depth_high,low_depth,0.9,{'depth_fraction': 0.1},500,0.082187704830202,0.0990421896228103,0.8446921490725937,0.84432677315616,0.0328518192831892,0.1058455366105932,0.9424,0.2888420838196618,0.5790088415606583,0.77290196753284,149,,0,mean_std,0.6018459913839656,0.0660622199268077,0.0928288665295047,-0.0133833233013485
